order_id,expected_gateway_relationship,expected_settlement_relationship,expected_outcome,exception_type
ORD-0053,matched,matched,reconciled,
ORD-0054,matched,missing,exception,missing_settlement
ORD-0055,matched,matched,reconciled,
ORD-0056,matched,matched,reconciled,
ORD-0057,matched,matched,reconciled,
ORD-0058,matched,missing,exception,missing_settlement
ORD-0059,matched,matched,reconciled,
ORD-0060,matched,matched,reconciled,
ORD-0061,missing,none,exception,missing_gateway
ORD-0062,matched,matched,reconciled,
ORD-0063,matched,matched,reconciled,
ORD-0064,matched,matched,reconciled,
ORD-0065,matched,matched,exception,amount_mismatch
ORD-0066,matched,delayed,exception,delayed_settlement
ORD-0067,matched,duplicate,exception,duplicate_settlement
ORD-0068,matched,matched,reconciled,
ORD-0069,matched,matched,exception,amount_mismatch
ORD-0070,matched,matched,reconciled,
ORD-0071,matched,matched,reconciled,
ORD-0072,matched,matched,reconciled,
ORD-0073,inconsistent,matched,exception,inconsistent_reference
ORD-0074,missing,none,exception,missing_gateway
ORD-0075,matched,matched,reconciled,
ORD-0076,matched,missing,exception,missing_settlement
ORD-0077,matched,matched,exception,amount_mismatch
ORD-0078,matched,matched,exception,amount_mismatch
ORD-0079,matched,missing,exception,missing_settlement
ORD-0080,matched,matched,exception,amount_mismatch
ORD-0081,missing,none,exception,missing_gateway
ORD-0082,matched,matched,reconciled,
ORD-0083,matched,matched,exception,amount_mismatch
ORD-0084,missing,none,exception,missing_gateway
ORD-0085,matched,matched,reconciled,
ORD-0086,matched,matched,reconciled,
ORD-0087,missing,none,exception,missing_gateway
ORD-0088,inconsistent,matched,exception,inconsistent_reference
ORD-0089,matched,matched,reconciled,
ORD-0090,matched,matched,reconciled,
ORD-0091,matched,matched,reconciled,
ORD-0092,matched,matched,reconciled,
ORD-0093,matched,matched,reconciled,
ORD-0094,matched,matched,reconciled,
ORD-0095,invalid,invalid,exception,invalid_record
ORD-0096,matched,matched,reconciled,
ORD-0097,matched,delayed,exception,delayed_settlement
ORD-0098,matched,matched,reconciled,
ORD-0099,matched,matched,reconciled,
ORD-0100,matched,matched,reconciled,
ORD-0101,matched,matched,exception,amount_mismatch
ORD-0102,matched,matched,reconciled,
ORD-0103,matched,matched,reconciled,
ORD-0104,matched,matched,reconciled,
ORD-0105,matched,matched,reconciled,
ORD-0106,matched,matched,reconciled,
ORD-0107,matched,matched,reconciled,
ORD-0108,matched,matched,reconciled,
ORD-0109,matched,matched,reconciled,
ORD-0110,matched,matched,reconciled,
ORD-0111,matched,missing,exception,missing_settlement
ORD-0112,matched,duplicate,exception,duplicate_settlement
ORD-0113,matched,matched,reconciled,
ORD-0114,matched,matched,reconciled,
ORD-0115,matched,duplicate,exception,duplicate_settlement
ORD-0116,matched,matched,reconciled,
ORD-0117,matched,matched,reconciled,
ORD-0118,matched,matched,reconciled,
ORD-0119,matched,matched,reconciled,
ORD-0120,matched,duplicate,exception,duplicate_settlement
ORD-0121,matched,matched,exception,amount_mismatch
ORD-0122,matched,matched,reconciled,
ORD-0123,matched,missing,exception,missing_settlement
ORD-0124,missing,none,exception,missing_gateway
ORD-0125,inconsistent,matched,exception,inconsistent_reference
ORD-0126,matched,matched,reconciled,
ORD-0127,inconsistent,matched,exception,inconsistent_reference
ORD-0128,matched,matched,reconciled,
ORD-0129,missing,none,exception,missing_gateway
ORD-0130,matched,matched,reconciled,
ORD-0131,invalid,invalid,exception,invalid_record
ORD-0132,matched,delayed,exception,delayed_settlement
ORD-0133,matched,matched,reconciled,
ORD-0134,matched,matched,reconciled,
ORD-0135,matched,matched,reconciled,
ORD-0136,matched,matched,reconciled,
ORD-0137,matched,matched,reconciled,
ORD-0138,missing,none,exception,missing_gateway
ORD-0139,matched,matched,reconciled,
ORD-0140,matched,matched,reconciled,
ORD-0141,matched,matched,reconciled,
ORD-0142,matched,matched,reconciled,
ORD-0143,matched,matched,reconciled,
ORD-0144,matched,matched,reconciled,
ORD-0145,matched,matched,reconciled,
ORD-0146,matched,matched,reconciled,
ORD-0147,ambiguous,matched,exception,ambiguous_reference
ORD-0148,ambiguous,matched,exception,ambiguous_reference
ORD-0149,ambiguous,matched,exception,ambiguous_reference
ORD-0150,ambiguous,matched,exception,ambiguous_reference
