gateway_ref,order_reference,amount,currency,captured_at,status,description
GW-0000063,ORD-0066,1702.30,EUR,2026-06-13 20:15:48,captured,Mobile wallet top-up
GW-0000064,ORD-0067,3212.39,INR,2026-07-15 02:11:31,captured,Card checkout — online store
GW-0000065,ORD-0068,1796.85,GBP,2026-07-07 13:05:15,captured,Card checkout — online store
GW-0000066,ORD-0069,2923.97,EUR,2026-08-01 14:01:05,captured,Insurance premium debit
GW-0000067,ORD-0070,1617.90,GBP,2026-08-01 17:35:21,captured,Hotel pre-authorization capture
GW-0000068,ORD-0071,1432.88,GBP,2026-07-04 02:12:20,captured,Marketplace payout capture
GW-0000069,ORD-0072,1016.72,EUR,2026-08-02 11:48:33,captured,Mobile wallet top-up
GW-0000070,ORD0073,4377.87,EUR,2026-07-09 20:19:00,captured,Marketplace payout capture
GW-0000071,ORD-0075,4962.24,EUR,2026-08-03 14:36:18,captured,Monthly SaaS subscription
GW-0000072,ORD-0076,2321.82,GBP,2026-06-24 19:07:52,captured,Card checkout — online store
GW-0000073,ORD-0077,2113.86,INR,2026-06-11 05:51:36,captured,Card checkout — online store
GW-0000074,ORD-0078,2939.40,INR,2026-06-30 18:19:55,captured,Utility bill payment
GW-0000075,ORD-0079,3208.72,USD,2026-06-28 09:05:10,captured,Marketplace payout capture
GW-0000076,ORD-0080,924.78,USD,2026-06-22 21:44:38,captured,Card checkout — online store
GW-0000077,ORD-0082,1236.31,GBP,2026-08-15 18:34:14,captured,Marketplace payout capture
GW-0000078,ORD-0083,4347.42,EUR,2026-06-12 08:19:38,captured,Card checkout — online store
GW-0000079,ORD-0085,2843.55,INR,2026-07-28 04:56:27,captured,Monthly SaaS subscription
GW-0000080,ORD-0086,148.10,USD,2026-07-02 06:52:17,captured,Card checkout — online store
GW-0000081, ORD-0088 ,1470.84,EUR,2026-08-15 13:05:30,captured,Utility bill payment
GW-0000082,ORD-0089,1695.76,USD,2026-06-22 20:31:18,captured,Hotel pre-authorization capture
GW-0000083,ORD-0090,2397.09,USD,2026-07-12 17:49:25,captured,Mobile wallet top-up
GW-0000084,ORD-0091,3460.53,INR,2026-07-24 23:23:39,captured,Card checkout — online store
GW-0000085,ORD-0092,3997.03,USD,2026-06-28 14:59:18,captured,Mobile wallet top-up
GW-0000086,ORD-0093,649.12,USD,2026-07-02 18:00:35,captured,Invoice payment
GW-0000087,ORD-0094,1190.57,USD,2026-07-31 04:31:59,captured,Monthly SaaS subscription
GW-0000088,ORD-0095,2190.86, ,2026-08-01 04:09:24,UNKNOWN,Marketplace payout capture
GW-0000089,ORD-0096,4845.74,EUR,2026-06-10 17:54:26,captured,Mobile wallet top-up
GW-0000090,ORD-0097,4314.54,USD,2026-07-09 00:37:42,captured,Mobile wallet top-up
GW-0000091,ORD-0098,2353.69,INR,2026-07-17 01:34:24,captured,Hotel pre-authorization capture
GW-0000092,ORD-0099,4571.71,EUR,2026-07-02 16:26:02,captured,Utility bill payment
GW-0000093,ORD-0100,3709.92,INR,2026-07-21 05:08:32,captured,Invoice payment
GW-0000094,ORD-0101,4596.27,INR,2026-06-14 04:09:26,captured,Insurance premium debit
GW-0000095,ORD-0102,1787.53,INR,2026-06-12 18:54:34,captured,Hotel pre-authorization capture
GW-0000096,ORD-0103,3298.73,INR,2026-08-10 03:15:40,captured,Card checkout — online store
GW-0000097,ORD-0104,3927.70,USD,2026-07-27 00:45:55,captured,Monthly SaaS subscription
GW-0000098,ORD-0105,884.73,GBP,2026-06-05 18:03:18,captured,Card checkout — online store
GW-0000099,ORD-0106,2270.53,EUR,2026-07-03 04:50:11,captured,Utility bill payment
GW-0000100,ORD-0107,426.52,INR,2026-07-02 22:09:14,captured,Insurance premium debit
GW-0000101,ORD-0108,2421.97,GBP,2026-06-02 22:43:34,captured,Insurance premium debit
GW-0000102,ORD-0109,2328.43,GBP,2026-08-16 19:44:16,captured,Mobile wallet top-up
GW-0000103,ORD-0110,1056.97,INR,2026-08-03 02:36:22,captured,Monthly SaaS subscription
GW-0000104,ORD-0111,3678.73,GBP,2026-06-03 11:36:55,captured,Utility bill payment
GW-0000105,ORD-0112,4786.75,INR,2026-07-08 08:22:14,captured,Marketplace payout capture
GW-0000106,ORD-0113,3973.90,EUR,2026-06-14 19:28:02,captured,Card checkout — online store
GW-0000107,ORD-0114,485.05,GBP,2026-07-13 21:08:50,captured,Utility bill payment
GW-0000108,ORD-0115,2795.69,GBP,2026-06-23 12:51:18,captured,Mobile wallet top-up
GW-0000109,ORD-0116,407.28,EUR,2026-06-30 01:35:23,captured,Utility bill payment
GW-0000110,ORD-0117,85.47,GBP,2026-08-09 05:43:47,captured,Monthly SaaS subscription
GW-0000111,ORD-0118,4324.33,GBP,2026-06-15 19:39:56,captured,Marketplace payout capture
GW-0000112,ORD-0119,4811.07,EUR,2026-06-10 21:19:41,captured,Insurance premium debit
GW-0000113,ORD-0120,745.33,USD,2026-06-06 19:06:15,captured,Mobile wallet top-up
GW-0000114,ORD-0121,2391.39,GBP,2026-08-10 21:46:09,captured,Utility bill payment
GW-0000115,ORD-0122,4935.84,GBP,2026-06-06 14:28:15,captured,Hotel pre-authorization capture
GW-0000116,ORD-0123,3607.43,GBP,2026-08-09 21:17:12,captured,Hotel pre-authorization capture
GW-0000117,ord-0125,3365.28,USD,2026-06-07 23:50:36,captured,Hotel pre-authorization capture
GW-0000118,ORD-0126,3086.83,EUR,2026-06-30 10:50:57,captured,Hotel pre-authorization capture
GW-0000119,ORD0127,4513.02,EUR,2026-06-17 11:07:42,captured,Mobile wallet top-up
GW-0000120,ORD-0128,1890.72,EUR,2026-08-15 18:16:03,captured,Hotel pre-authorization capture
GW-0000121,ORD-0130,4091.54,GBP,2026-08-05 18:14:39,captured,Monthly SaaS subscription
GW-0000122,ORD-0131,2413.96, ,2026-06-08 20:27:43,UNKNOWN,Insurance premium debit
GW-0000123,ORD-0132,2582.92,INR,2026-06-11 01:09:04,captured,Monthly SaaS subscription
GW-0000124,ORD-0133,3285.72,GBP,2026-07-19 22:38:27,captured,Mobile wallet top-up
GW-0000125,ORD-0134,4483.58,EUR,2026-07-27 16:26:21,captured,Insurance premium debit
GW-0000126,ORD-0135,2193.48,USD,2026-07-12 03:16:23,captured,Utility bill payment
GW-0000127,ORD-0136,364.47,USD,2026-06-12 08:47:47,captured,Monthly SaaS subscription
GW-0000128,ORD-0137,2929.48,USD,2026-08-16 12:26:22,captured,Hotel pre-authorization capture
GW-0000129,ORD-0139,2672.80,EUR,2026-06-21 20:22:54,captured,Insurance premium debit
GW-0000130,ORD-0140,614.82,GBP,2026-08-15 01:54:35,captured,Marketplace payout capture
GW-0000131,ORD-0141,3205.38,GBP,2026-06-05 16:48:19,captured,Invoice payment
GW-0000132,ORD-0142,44.51,EUR,2026-06-19 11:47:40,captured,Utility bill payment
GW-0000133,ORD-0143,3924.27,EUR,2026-07-20 08:10:23,captured,Utility bill payment
GW-0000134,ORD-0144,4085.35,USD,2026-06-08 01:39:03,captured,Invoice payment
GW-0000135,ORD-0145,2335.68,INR,2026-08-03 20:13:48,captured,Insurance premium debit
GW-0000136,ORD-0146,1822.19,INR,2026-06-17 03:37:31,captured,Mobile wallet top-up
GW-0000137,INV-8841,250.61,EUR,2026-07-21 19:19:13,captured,Card checkout — online store
GW-0000138,INV-8841,1530.03,GBP,2026-06-17 03:27:11,captured,Card checkout — online store
GW-0000139,INV-2260,2804.76,EUR,2026-08-04 16:55:47,captured,Hotel pre-authorization capture
GW-0000140,INV-2260,110.75,INR,2026-06-11 16:36:25,captured,Hotel pre-authorization capture
