settlement_id,gateway_ref,amount,settlement_date,status,bank_reference
STL-0000051,GW-0000051,4504.24,2026-08-05,settled,BANK-ACH-000051
STL-0000052,GW-0000053,1774.78,2026-06-25,settled,BANK-ACH-000052
STL-0000053,GW-0000054,3115.72,2026-06-15,settled,BANK-ACH-000053
STL-0000054,GW-0000055,1728.77,2026-08-02,settled,BANK-ACH-000054
STL-0000055,GW-0000057,3421.12,2026-06-07,settled,BANK-ACH-000055
STL-0000056,GW-0000058,1263.16,2026-08-03,settled,BANK-ACH-000056
STL-0000057,GW-0000059,3046.47,2026-07-11,settled,BANK-ACH-000057
STL-0000058,GW-0000060,3667.79,2026-06-17,settled,BANK-ACH-000058
STL-0000059,GW-0000061,2665.19,2026-06-06,settled,BANK-ACH-000059
STL-0000060,GW-0000062,3720.83,2026-07-30,settled,BANK-ACH-000060
STL-0000061,GW-0000063,1702.30,2026-07-02,settled,BANK-ACH-000061
STL-0000062,GW-0000064,3212.39,2026-07-17,settled,BANK-ACH-000062
STL-0000063,GW-0000064,3212.39,2026-07-18,settled,BANK-ACH-000063
STL-0000064,GW-0000065,1796.85,2026-07-10,settled,BANK-ACH-000064
STL-0000065,GW-0000066,2923.22,2026-08-02,settled,BANK-ACH-000065
STL-0000066,GW-0000067,1617.90,2026-08-04,settled,BANK-ACH-000066
STL-0000067,GW-0000068,1432.88,2026-07-05,settled,BANK-ACH-000067
STL-0000068,GW-0000069,1016.72,2026-08-02,settled,BANK-ACH-000068
STL-0000069,GW-0000070,4377.87,2026-07-11,settled,BANK-ACH-000069
STL-0000070,GW-0000071,4962.24,2026-08-06,settled,BANK-ACH-000070
STL-0000071,GW-0000073,2113.86,2026-06-11,settled,BANK-ACH-000071
STL-0000072,GW-0000074,2939.40,2026-06-30,settled,BANK-ACH-000072
STL-0000073,GW-0000076,923.78,2026-06-24,settled,BANK-ACH-000073
STL-0000074,GW-0000077,1236.31,2026-08-17,settled,BANK-ACH-000074
STL-0000075,GW-0000078,4346.42,2026-06-15,settled,BANK-ACH-000075
STL-0000076,GW-0000079,2843.55,2026-07-30,settled,BANK-ACH-000076
STL-0000077,GW-0000080,148.10,2026-07-02,settled,BANK-ACH-000077
STL-0000078,GW-0000081,1470.84,2026-08-17,settled,BANK-ACH-000078
STL-0000079,GW-0000082,1695.76,2026-06-22,settled,BANK-ACH-000079
STL-0000080,GW-0000083,2397.09,2026-07-12,settled,BANK-ACH-000080
STL-0000081,GW-0000084,3460.53,2026-07-27,settled,BANK-ACH-000081
STL-0000082,GW-0000085,3997.03,2026-07-01,settled,BANK-ACH-000082
STL-0000083,GW-0000086,649.12,2026-07-02,settled,BANK-ACH-000083
STL-0000084,GW-0000087,1190.57,2026-08-02,settled,BANK-ACH-000084
STL-0000085,GW-0000088,2190.86,2026-08-01,ERROR,UNAVAILABLE
STL-0000086,GW-0000089,4845.74,2026-06-12,settled,BANK-ACH-000086
STL-0000087,GW-0000090,4314.54,2026-07-21,settled,BANK-ACH-000087
STL-0000088,GW-0000091,2353.69,2026-07-19,settled,BANK-ACH-000088
STL-0000089,GW-0000092,4571.71,2026-07-05,settled,BANK-ACH-000089
STL-0000090,GW-0000093,3709.92,2026-07-21,settled,BANK-ACH-000090
STL-0000091,GW-0000094,4595.77,2026-06-16,settled,BANK-ACH-000091
STL-0000092,GW-0000095,1787.53,2026-06-14,settled,BANK-ACH-000092
STL-0000093,GW-0000096,3298.73,2026-08-11,settled,BANK-ACH-000093
STL-0000094,GW-0000097,3927.70,2026-07-30,settled,BANK-ACH-000094
STL-0000095,GW-0000098,884.73,2026-06-07,settled,BANK-ACH-000095
STL-0000096,GW-0000099,2270.53,2026-07-04,settled,BANK-ACH-000096
STL-0000097,GW-0000100,426.52,2026-07-04,settled,BANK-ACH-000097
STL-0000098,GW-0000101,2421.97,2026-06-02,settled,BANK-ACH-000098
STL-0000099,GW-0000102,2328.43,2026-08-18,settled,BANK-ACH-000099
STL-0000100,GW-0000103,1056.97,2026-08-05,settled,BANK-ACH-000100
STL-0000101,GW-0000105,4786.75,2026-07-10,settled,BANK-ACH-000101
STL-0000102,GW-0000105,4786.75,2026-07-12,settled,BANK-ACH-000102
STL-0000103,GW-0000106,3973.90,2026-06-15,settled,BANK-ACH-000103
STL-0000104,GW-0000107,485.05,2026-07-15,settled,BANK-ACH-000104
STL-0000105,GW-0000108,2795.69,2026-06-23,settled,BANK-ACH-000105
STL-0000106,GW-0000108,2795.69,2026-06-24,settled,BANK-ACH-000106
STL-0000107,GW-0000109,407.28,2026-07-03,settled,BANK-ACH-000107
STL-0000108,GW-0000110,85.47,2026-08-12,settled,BANK-ACH-000108
STL-0000109,GW-0000111,4324.33,2026-06-17,settled,BANK-ACH-000109
STL-0000110,GW-0000112,4811.07,2026-06-10,settled,BANK-ACH-000110
STL-0000111,GW-0000113,745.33,2026-06-07,settled,BANK-ACH-000111
STL-0000112,GW-0000113,745.33,2026-06-08,settled,BANK-ACH-000112
STL-0000113,GW-0000114,2391.39,2026-08-13,settled,BANK-ACH-000113
STL-0000114,GW-0000115,4935.84,2026-06-06,settled,BANK-ACH-000114
STL-0000115,GW-0000117,3365.28,2026-06-08,settled,BANK-ACH-000115
STL-0000116,GW-0000118,3086.83,2026-07-02,settled,BANK-ACH-000116
STL-0000117,GW-0000119,4513.02,2026-06-17,settled,BANK-ACH-000117
STL-0000118,GW-0000120,1890.72,2026-08-18,settled,BANK-ACH-000118
STL-0000119,GW-0000121,4091.54,2026-08-07,settled,BANK-ACH-000119
STL-0000120,GW-0000122,2413.96,2026-06-08,ERROR,UNAVAILABLE
STL-0000121,GW-0000123,2582.92,2026-06-25,settled,BANK-ACH-000121
STL-0000122,GW-0000124,3285.72,2026-07-19,settled,BANK-ACH-000122
STL-0000123,GW-0000125,4483.58,2026-07-30,settled,BANK-ACH-000123
STL-0000124,GW-0000126,2193.48,2026-07-15,settled,BANK-ACH-000124
STL-0000125,GW-0000127,364.47,2026-06-13,settled,BANK-ACH-000125
STL-0000126,GW-0000128,2929.48,2026-08-16,settled,BANK-ACH-000126
STL-0000127,GW-0000129,2672.80,2026-06-23,settled,BANK-ACH-000127
STL-0000128,GW-0000130,614.82,2026-08-15,settled,BANK-ACH-000128
STL-0000129,GW-0000131,3205.38,2026-06-07,settled,BANK-ACH-000129
STL-0000130,GW-0000132,44.51,2026-06-19,settled,BANK-ACH-000130
STL-0000131,GW-0000133,3924.27,2026-07-22,settled,BANK-ACH-000131
STL-0000132,GW-0000134,4085.35,2026-06-10,settled,BANK-ACH-000132
STL-0000133,GW-0000135,2335.68,2026-08-03,settled,BANK-ACH-000133
STL-0000134,GW-0000136,1822.19,2026-06-19,settled,BANK-ACH-000134
STL-0000135,GW-0000137,250.61,2026-07-23,settled,BANK-ACH-000135
STL-0000136,GW-0000138,1530.03,2026-06-20,settled,BANK-ACH-000136
STL-0000137,GW-0000139,2804.76,2026-08-07,settled,BANK-ACH-000137
STL-0000138,GW-0000140,110.75,2026-06-13,settled,BANK-ACH-000138
